price_date,fuel_code,national_avg_nzd_per_l
2024-01-05,DSL,2.076
2024-01-05,P91,2.657
2024-01-05,P95,2.828
2024-01-05,P98,2.998
2024-01-12,DSL,2.071
2024-01-12,P91,2.653
2024-01-12,P95,2.824
2024-01-12,P98,2.994
2024-01-19,DSL,2.067
2024-01-19,P91,2.651
2024-01-19,P95,2.822
2024-01-19,P98,2.992
2024-01-26,DSL,2.079
2024-01-26,P91,2.665
2024-01-26,P95,2.84
2024-01-26,P98,3.01
2024-02-02,DSL,2.109
2024-02-02,P91,2.721
2024-02-02,P95,2.893
2024-02-02,P98,3.063
2024-02-09,DSL,2.135
2024-02-09,P91,2.756
2024-02-09,P95,2.925
2024-02-09,P98,3.095
2024-02-16,DSL,2.155
2024-02-16,P91,2.778
2024-02-16,P95,2.95
2024-02-16,P98,3.12
2024-02-23,DSL,2.174
2024-02-23,P91,2.792
2024-02-23,P95,2.97
2024-02-23,P98,3.14
2024-03-01,DSL,2.176
2024-03-01,P91,2.793
2024-03-01,P95,2.972
2024-03-01,P98,3.142
2024-03-08,DSL,2.173
2024-03-08,P91,2.802
2024-03-08,P95,2.978
2024-03-08,P98,3.148
2024-03-15,DSL,2.166
2024-03-15,P91,2.795
2024-03-15,P95,2.971
2024-03-15,P98,3.141
2024-03-22,DSL,2.162
2024-03-22,P91,2.798
2024-03-22,P95,2.972
2024-03-22,P98,3.142
2024-03-29,DSL,2.173
2024-03-29,P91,2.823
2024-03-29,P95,2.995
2024-03-29,P98,3.165
2024-04-05,DSL,2.17
2024-04-05,P91,2.836
2024-04-05,P95,3.007
2024-04-05,P98,3.177
2024-04-12,DSL,2.169
2024-04-12,P91,2.849
2024-04-12,P95,3.025
2024-04-12,P98,3.195
2024-04-19,DSL,2.171
2024-04-19,P91,2.852
2024-04-19,P95,3.022
2024-04-19,P98,3.192
2024-04-26,DSL,2.169
2024-04-26,P91,2.846
2024-04-26,P95,3.019
2024-04-26,P98,3.189
2024-05-03,DSL,2.16
2024-05-03,P91,2.836
2024-05-03,P95,3.009
2024-05-03,P98,3.179
2024-05-10,DSL,2.141
2024-05-10,P91,2.819
2024-05-10,P95,2.992
2024-05-10,P98,3.162
2024-05-17,DSL,2.113
2024-05-17,P91,2.787
2024-05-17,P95,2.961
2024-05-17,P98,3.131
2024-05-24,DSL,2.085
2024-05-24,P91,2.759
2024-05-24,P95,2.927
2024-05-24,P98,3.097
2024-05-31,DSL,2.06
2024-05-31,P91,2.732
2024-05-31,P95,2.906
2024-05-31,P98,3.076
2024-06-07,DSL,2.019
2024-06-07,P91,2.687
2024-06-07,P95,2.863
2024-06-07,P98,3.033
2024-06-14,DSL,1.978
2024-06-14,P91,2.643
2024-06-14,P95,2.818
2024-06-14,P98,2.988
2024-06-21,DSL,1.974
2024-06-21,P91,2.631
2024-06-21,P95,2.806
2024-06-21,P98,2.976
2024-06-28,DSL,2.001
2024-06-28,P91,2.655
2024-06-28,P95,2.832
2024-06-28,P98,3.002
2024-07-05,DSL,1.969
2024-07-05,P91,2.621
2024-07-05,P95,2.794
2024-07-05,P98,2.964
2024-07-12,DSL,1.987
2024-07-12,P91,2.643
2024-07-12,P95,2.816
2024-07-12,P98,2.986
2024-07-19,DSL,1.989
2024-07-19,P91,2.646
2024-07-19,P95,2.82
2024-07-19,P98,2.99
2024-07-26,DSL,1.985
2024-07-26,P91,2.643
2024-07-26,P95,2.816
2024-07-26,P98,2.986
2024-08-02,DSL,1.973
2024-08-02,P91,2.635
2024-08-02,P95,2.805
2024-08-02,P98,2.975
2024-08-09,DSL,1.959
2024-08-09,P91,2.625
2024-08-09,P95,2.795
2024-08-09,P98,2.965
2024-08-16,DSL,1.935
2024-08-16,P91,2.606
2024-08-16,P95,2.774
2024-08-16,P98,2.944
2024-08-23,DSL,1.915
2024-08-23,P91,2.588
2024-08-23,P95,2.757
2024-08-23,P98,2.927
2024-08-30,DSL,1.89
2024-08-30,P91,2.564
2024-08-30,P95,2.728
2024-08-30,P98,2.898
2024-09-06,DSL,1.864
2024-09-06,P91,2.544
2024-09-06,P95,2.71
2024-09-06,P98,2.88
2024-09-13,DSL,1.834
2024-09-13,P91,2.517
2024-09-13,P95,2.685
2024-09-13,P98,2.855
2024-09-20,DSL,1.801
2024-09-20,P91,2.49
2024-09-20,P95,2.662
2024-09-20,P98,2.832
2024-09-27,DSL,1.777
2024-09-27,P91,2.473
2024-09-27,P95,2.648
2024-09-27,P98,2.818
2024-10-04,DSL,1.75
2024-10-04,P91,2.468
2024-10-04,P95,2.647
2024-10-04,P98,2.817
2024-10-11,DSL,1.784
2024-10-11,P91,2.494
2024-10-11,P95,2.669
2024-10-11,P98,2.839
2024-10-18,DSL,1.818
2024-10-18,P91,2.523
2024-10-18,P95,2.7
2024-10-18,P98,2.87
2024-10-25,DSL,1.827
2024-10-25,P91,2.532
2024-10-25,P95,2.71
2024-10-25,P98,2.88
2024-11-01,DSL,1.821
2024-11-01,P91,2.523
2024-11-01,P95,2.702
2024-11-01,P98,2.872
2024-11-08,DSL,1.828
2024-11-08,P91,2.538
2024-11-08,P95,2.712
2024-11-08,P98,2.882
2024-11-15,DSL,1.846
2024-11-15,P91,2.558
2024-11-15,P95,2.733
2024-11-15,P98,2.903
2024-11-22,DSL,1.85
2024-11-22,P91,2.56
2024-11-22,P95,2.734
2024-11-22,P98,2.904
2024-11-29,DSL,1.849
2024-11-29,P91,2.559
2024-11-29,P95,2.734
2024-11-29,P98,2.904
2024-12-06,DSL,1.848
2024-12-06,P91,2.555
2024-12-06,P95,2.728
2024-12-06,P98,2.898
2024-12-13,DSL,1.851
2024-12-13,P91,2.556
2024-12-13,P95,2.73
2024-12-13,P98,2.9
2024-12-20,DSL,1.869
2024-12-20,P91,2.585
2024-12-20,P95,2.757
2024-12-20,P98,2.927
2024-12-27,DSL,1.905
2024-12-27,P91,2.623
2024-12-27,P95,2.79
2024-12-27,P98,2.96
2025-01-03,DSL,1.933
2025-01-03,P91,2.647
2025-01-03,P95,2.806
2025-01-03,P98,2.976
2025-01-10,DSL,1.941
2025-01-10,P91,2.657
2025-01-10,P95,2.815
2025-01-10,P98,2.985
2025-01-17,DSL,1.971
2025-01-17,P91,2.682
2025-01-17,P95,2.836
2025-01-17,P98,3.006
2025-01-24,DSL,2.0
2025-01-24,P91,2.706
2025-01-24,P95,2.858
2025-01-24,P98,3.028
2025-01-31,DSL,2.007
2025-01-31,P91,2.704
2025-01-31,P95,2.857
2025-01-31,P98,3.027
2025-02-07,DSL,2.0
2025-02-07,P91,2.694
2025-02-07,P95,2.846
2025-02-07,P98,3.016
2025-02-14,DSL,1.993
2025-02-14,P91,2.688
2025-02-14,P95,2.839
2025-02-14,P98,3.009
2025-02-21,DSL,1.988
2025-02-21,P91,2.684
2025-02-21,P95,2.834
2025-02-21,P98,3.004
2025-02-28,DSL,1.985
2025-02-28,P91,2.677
2025-02-28,P95,2.83
2025-02-28,P98,3.0
2025-03-07,DSL,1.97
2025-03-07,P91,2.663
2025-03-07,P95,2.815
2025-03-07,P98,2.985
2025-03-14,DSL,1.952
2025-03-14,P91,2.639
2025-03-14,P95,2.792
2025-03-14,P98,2.962
2025-03-21,DSL,1.943
2025-03-21,P91,2.617
2025-03-21,P95,2.772
2025-03-21,P98,2.942
2025-03-28,DSL,1.932
2025-03-28,P91,2.612
2025-03-28,P95,2.763
2025-03-28,P98,2.933
2025-04-04,DSL,1.925
2025-04-04,P91,2.612
2025-04-04,P95,2.774
2025-04-04,P98,2.944
2025-04-11,DSL,1.914
2025-04-11,P91,2.6
2025-04-11,P95,2.764
2025-04-11,P98,2.934
2025-04-18,DSL,1.885
2025-04-18,P91,2.573
2025-04-18,P95,2.738
2025-04-18,P98,2.908
2025-04-25,DSL,1.868
2025-04-25,P91,2.555
2025-04-25,P95,2.721
2025-04-25,P98,2.891
2025-05-02,DSL,1.855
2025-05-02,P91,2.542
2025-05-02,P95,2.71
2025-05-02,P98,2.88
2025-05-09,DSL,1.833
2025-05-09,P91,2.53
2025-05-09,P95,2.697
2025-05-09,P98,2.867
2025-05-16,DSL,1.816
2025-05-16,P91,2.517
2025-05-16,P95,2.687
2025-05-16,P98,2.857
2025-05-23,DSL,1.808
2025-05-23,P91,2.512
2025-05-23,P95,2.681
2025-05-23,P98,2.851
2025-05-30,DSL,1.802
2025-05-30,P91,2.504
2025-05-30,P95,2.674
2025-05-30,P98,2.844
2025-06-06,DSL,1.786
2025-06-06,P91,2.489
2025-06-06,P95,2.66
2025-06-06,P98,2.83
2025-06-13,DSL,1.781
2025-06-13,P91,2.483
2025-06-13,P95,2.658
2025-06-13,P98,2.828
2025-06-20,DSL,1.799
2025-06-20,P91,2.507
2025-06-20,P95,2.68
2025-06-20,P98,2.85
2025-06-27,DSL,1.843
2025-06-27,P91,2.552
2025-06-27,P95,2.723
2025-06-27,P98,2.893
2025-07-04,DSL,1.855
2025-07-04,P91,2.561
2025-07-04,P95,2.72
2025-07-04,P98,2.89
2025-07-11,DSL,1.847
2025-07-11,P91,2.549
2025-07-11,P95,2.708
2025-07-11,P98,2.878
2025-07-18,DSL,1.845
2025-07-18,P91,2.539
2025-07-18,P95,2.703
2025-07-18,P98,2.873
2025-07-25,DSL,1.85
2025-07-25,P91,2.541
2025-07-25,P95,2.707
2025-07-25,P98,2.877
2025-08-01,DSL,1.854
2025-08-01,P91,2.539
2025-08-01,P95,2.705
2025-08-01,P98,2.875
2025-08-08,DSL,1.859
2025-08-08,P91,2.541
2025-08-08,P95,2.703
2025-08-08,P98,2.873
2025-08-15,DSL,1.849
2025-08-15,P91,2.527
2025-08-15,P95,2.692
2025-08-15,P98,2.862
2025-08-22,DSL,1.84
2025-08-22,P91,2.516
2025-08-22,P95,2.679
2025-08-22,P98,2.849
2025-08-29,DSL,1.844
2025-08-29,P91,2.526
2025-08-29,P95,2.688
2025-08-29,P98,2.858
2025-09-05,DSL,1.853
2025-09-05,P91,2.535
2025-09-05,P95,2.697
2025-09-05,P98,2.867
2025-09-12,DSL,1.863
2025-09-12,P91,2.547
2025-09-12,P95,2.702
2025-09-12,P98,2.872
2025-09-19,DSL,1.869
2025-09-19,P91,2.549
2025-09-19,P95,2.704
2025-09-19,P98,2.874
2025-09-26,DSL,1.869
2025-09-26,P91,2.549
2025-09-26,P95,2.705
2025-09-26,P98,2.875
2025-10-03,DSL,1.886
2025-10-03,P91,2.568
2025-10-03,P95,2.708
2025-10-03,P98,2.878
2025-10-10,DSL,1.895
2025-10-10,P91,2.578
2025-10-10,P95,2.708
2025-10-10,P98,2.878
2025-10-17,DSL,1.896
2025-10-17,P91,2.579
2025-10-17,P95,2.707
2025-10-17,P98,2.877
2025-10-24,DSL,1.898
2025-10-24,P91,2.58
2025-10-24,P95,2.707
2025-10-24,P98,2.877
2025-10-31,DSL,1.901
2025-10-31,P91,2.582
2025-10-31,P95,2.712
2025-10-31,P98,2.882
2025-11-07,DSL,1.916
2025-11-07,P91,2.6
2025-11-07,P95,2.728
2025-11-07,P98,2.898
2025-11-14,DSL,1.936
2025-11-14,P91,2.611
2025-11-14,P95,2.74
2025-11-14,P98,2.91
2025-11-21,DSL,1.956
2025-11-21,P91,2.627
2025-11-21,P95,2.756
2025-11-21,P98,2.926
2025-11-28,DSL,1.966
2025-11-28,P91,2.637
2025-11-28,P95,2.767
2025-11-28,P98,2.937
2025-12-05,DSL,1.961
2025-12-05,P91,2.633
2025-12-05,P95,2.762
2025-12-05,P98,2.932
2025-12-12,DSL,1.957
2025-12-12,P91,2.636
2025-12-12,P95,2.764
2025-12-12,P98,2.934
2025-12-19,DSL,1.952
2025-12-19,P91,2.627
2025-12-19,P95,2.756
2025-12-19,P98,2.926
2025-12-26,DSL,1.934
2025-12-26,P91,2.609
2025-12-26,P95,2.742
2025-12-26,P98,2.912
2026-01-02,DSL,1.92
2026-01-02,P91,2.595
2026-01-02,P95,2.727
2026-01-02,P98,2.897
2026-01-09,DSL,1.908
2026-01-09,P91,2.582
2026-01-09,P95,2.715
2026-01-09,P98,2.885
2026-01-16,DSL,1.891
2026-01-16,P91,2.561
2026-01-16,P95,2.698
2026-01-16,P98,2.868
2026-01-23,DSL,1.88
2026-01-23,P91,2.551
2026-01-23,P95,2.684
2026-01-23,P98,2.854
2026-01-30,DSL,1.874
2026-01-30,P91,2.546
2026-01-30,P95,2.671
2026-01-30,P98,2.841
2026-02-06,DSL,1.865
2026-02-06,P91,2.54
2026-02-06,P95,2.662
2026-02-06,P98,2.832
2026-02-13,DSL,1.863
2026-02-13,P91,2.531
2026-02-13,P95,2.657
2026-02-13,P98,2.827
2026-02-20,DSL,1.861
2026-02-20,P91,2.526
2026-02-20,P95,2.654
2026-02-20,P98,2.824
2026-02-27,DSL,1.866
2026-02-27,P91,2.532
2026-02-27,P95,2.657
2026-02-27,P98,2.827
2026-03-06,DSL,1.944
2026-03-06,P91,2.583
2026-03-06,P95,2.711
2026-03-06,P98,2.881
2026-03-13,DSL,2.342
2026-03-13,P91,2.823
2026-03-13,P95,2.939
2026-03-13,P98,3.109
2026-03-20,DSL,2.858
2026-03-20,P91,3.142
2026-03-20,P95,3.27
2026-03-20,P98,3.44
2026-03-27,DSL,3.281
2026-03-27,P91,3.355
2026-03-27,P95,3.505
2026-03-27,P98,3.675
2026-04-03,DSL,3.535
2026-04-03,P91,3.411
2026-04-03,P95,3.556
2026-04-03,P98,3.726
2026-04-10,DSL,3.814
2026-04-10,P91,3.479
2026-04-10,P95,3.623
2026-04-10,P98,3.793
2026-04-17,DSL,3.822
2026-04-17,P91,3.432
2026-04-17,P95,3.588
2026-04-17,P98,3.758
2026-04-24,DSL,3.51
2026-04-24,P91,3.315
2026-04-24,P95,3.467
2026-04-24,P98,3.637
2026-05-01,DSL,3.314
2026-05-01,P91,3.236
2026-05-01,P95,3.389
2026-05-01,P98,3.559
